year,state,county,farms.full.owners,farms.part.owners,farms.managers,farms.tenants
1925,Alabama,Autauga,764,80,3,1884
1925,Alabama,Baldwin,1886,137,45,432
1925,Alabama,Barbour,854,78,16,2660
1925,Alabama,Bibb,756,203,5,811
1925,Alabama,Blount,1889,354,1,1452
1925,Alabama,Bullock,385,71,7,2543
1925,Alabama,Butler,1267,96,8,2269
1925,Alabama,Calhoun,952,107,2,1900
1925,Alabama,Chambers,979,68,26,3434
1925,Alabama,Cherokee,1058,136,7,2004
1925,Alabama,Chilton,1565,193,3,1633
1925,Alabama,Choctaw,855,250,2,1152
1925,Alabama,Clarke,1380,639,5,1562
1925,Alabama,Clay,1340,177,0,1403
1925,Alabama,Cleburne,935,146,0,957
1925,Alabama,Coffee,1422,123,0,3455
1925,Alabama,Colbert,620,170,1,1781
1925,Alabama,Conecuh,1348,389,7,1370
1925,Alabama,Coosa,736,127,0,928
1925,Alabama,Covington,1824,166,15,2311
1925,Alabama,Crenshaw,1265,172,6,2203
1925,Alabama,Cullman,2843,543,0,2059
1925,Alabama,Dale,995,202,2,1920
1925,Alabama,Dallas,655,169,11,5771
1925,Alabama,DeKalb,2667,481,2,2888
1925,Alabama,Elmore,1319,189,5,2644
1925,Alabama,Escambia,1066,117,12,894
1925,Alabama,Etowah,1220,140,7,2002
1925,Alabama,Fayette,1349,234,0,962
1925,Alabama,Franklin,1214,145,1,1354
1925,Alabama,Geneva,1203,159,6,2373
1925,Alabama,Greene,412,134,6,2466
1925,Alabama,Hale,824,83,5,2748
1925,Alabama,Henry,759,126,1,2447
1925,Alabama,Houston,1315,184,4,2812
1925,Alabama,Jackson,1742,359,1,2668
1925,Alabama,Jefferson,2337,297,6,1329
1925,Alabama,Lamar,1283,166,4,1231
1925,Alabama,Lauderdale,1441,439,2,2855
1925,Alabama,Lawrence,1030,323,0,2868
1925,Alabama,Lee,868,36,14,2629
1925,Alabama,Limestone,1158,434,8,3865
1925,Alabama,Lowndes,428,181,6,2965
1925,Alabama,Macon,525,87,7,2532
1925,Alabama,Madison,1316,402,15,4269
1925,Alabama,Marengo,875,304,6,3794
1925,Alabama,Marion,1603,268,0,1280
1925,Alabama,Marshall,1980,385,3,2955
1925,Alabama,Mobile,1579,126,62,264
1925,Alabama,Monroe,1092,391,5,2283
1925,Alabama,Montgomery,745,200,34,3549
1925,Alabama,Morgan,1439,250,1,2541
1925,Alabama,Perry,689,126,6,2471
1925,Alabama,Pickens,1168,101,3,1960
1925,Alabama,Pike,902,139,11,3434
1925,Alabama,Randolph,1587,178,0,1740
1925,Alabama,Russell,498,46,12,2184
1925,Alabama,St Clair,1188,147,2,1093
1925,Alabama,Shelby,901,94,4,919
1925,Alabama,Sumter,516,77,1,2311
1925,Alabama,Talladega,967,159,2,2798
1925,Alabama,Tallapoosa,1288,105,3,2565
1925,Alabama,Tuscaloosa,1713,277,4,2160
1925,Alabama,Walker,1846,304,2,867
1925,Alabama,Washington,896,189,0,395
1925,Alabama,Wilcox,644,154,2,3379
1925,Alabama,Winston,1117,134,1,598
1925,Alaska Territory,First Judicial Dist,,,,
1925,Alaska Territory,Fourth Judicial Dist,,,,
1925,Alaska Territory,Second Judicial Dist,,,,
1925,Alaska Territory,Third Judicial Dist,,,,
1925,Arizona,Apache,400,115,11,69
1925,Arizona,Cochise,609,231,6,113
1925,Arizona,Coconino,491,45,9,42
1925,Arizona,Gila,290,10,8,38
1925,Arizona,Graham,594,95,8,190
1925,Arizona,Greenlee,167,16,1,51
1925,Arizona,Maricopa,2437,287,137,1165
1925,Arizona,Mohave,168,8,4,28
1925,Arizona,Navajo,239,112,5,47
1925,Arizona,Pima,325,76,20,100
1925,Arizona,Pinal,207,40,25,109
1925,Arizona,Santa Cruz,132,59,2,52
1925,Arizona,Yavapai,507,92,35,98
1925,Arizona,Yuma,342,85,25,225
1925,Arkansas,Arkansas,867,130,7,1165
1925,Arkansas,Ashley,883,61,11,2015
